а	conj	6634.9
а-а	intj	28.2
абзац	s	21.2
абонент	s	19.3
абсолютно	adv	69.9
абсолютный	a	65.2
абстрактный	a	38.8
аварийный	a	26.8
авария	s	38.6
август	s	78.5
авиационный	a	34.9
авиация	s	53.1
автобус	s	25.4
автомат	s	34.4
автоматизация	s	28.0
автоматизированный	a	43.3
автоматически	adv	27.3
автоматический	a	52.8
автомобиль	s	71.1
автомобильный	a	41.9
автономный	a	57.6
автор	s	431.8
авторитет	s	34.6
авторский	a	38.7
ага	intj	66.3
агент	s	53.5
агентство	s	51.5
агрегат	s	53.1
агрессивный	a	20.2
адаптация	s	47.4
адвокат	s	71.0
адвокатский	a	23.5
адекватный	a	54.8
административный	a	272.6
администрация	s	89.3
адмиралтейский	a	19.5
адрес	s	99.0
азот	s	30.3
академик	s	51.9
академический	a	24.0
академия	s	95.5
аккредитив	s	21.4
аксиома	s	30.8
акт	s	379.8
актер	s	23.4
актив	s	54.6
активация	s	21.2
активизация	s	21.0
активно	adv	76.3
активность	s	216.9
активный	a	182.1
актуальность	s	23.9
актуальный	a	91.2
акцент	s	34.2
акционер	s	70.8
акционерный	a	45.9
акция	s	98.9
алгоритм	s	137.9
алименты	s	21.2
алкоголь	s	21.4
альтернатива	s	28.0
альтернативный	a	48.9
алюминиевый	a	19.5
алюминий	s	22.2
американец	s	28.6
американский	a	146.7
аминокислота	s	23.3
аминокислотный	a	24.0
амплитуда	s	20.0
анализ	s	670.4
анализировать	v	61.6
аналитический	a	56.4
аналог	s	38.8
аналогично	adv	19.4
аналогичный	a	129.0
аналогия	s	42.6
ангел	s	20.5
английский	a	112.3
анекдот	s	30.6
аномалия	s	27.4
антиген	s	55.3
антигенный	a	43.3
антитело	s	137.0
античность	s	18.7
античный	a	37.4
антропогенный	a	20.3
апелляционный	a	44.4
апикальный	a	23.1
аппарат	s	102.4
аппаратура	s	30.8
апрель	s	103.6
аптека	s	18.9
арбитраж	s	24.6
арбитражный	a	272.1
аргумент	s	39.5
аренда	s	50.7
арендатор	s	21.6
арест	s	50.1
армия	s	79.9
аромат	s	21.0
артерия	s	32.7
архив	s	48.6
архитектор	s	40.0
архитектура	s	77.0
архитектурный	a	33.4
аспект	s	116.3
ассортимент	s	32.1
ассоциация	s	65.6
астрономия	s	20.6
атака	s	49.4
атмосфера	s	84.7
атмосферный	a	20.8
атом	s	90.1
атомный	a	62.6
атрибут	s	24.1
аттитюд	s	19.7
аудитория	s	26.0
ах	intj	23.5
б	part	49.7
бабушка	s	53.2
база	s	322.0
базальный	a	30.1
базироваться	v	36.9
базовый	a	67.0
бактерия	s	23.7
баланс	s	76.4
балл	s	22.5
банк	s	255.3
банка	s	28.2
банковский	a	78.0
банкротство	s	59.8
баня	s	20.0
барабан	s	19.9
барьер	s	28.7
бассейн	s	63.9
батарея	s	18.9
башня	s	23.9
бегать	v	21.6
беда	s	24.2
бедный	a	41.8
бедро	s	25.5
бежать	v	34.3
без	pr	793.2
бездействие	s	20.7
безопасность	s	273.4
безопасный	a	43.4
безработица	s	21.4
безусловно	adv	48.7
белка	s	27.4
белковый	a	23.2
белок	s	192.9
белый	a	158.0
белье	s	24.3
берег	s	89.9
береза	s	24.2
беременность	s	45.0
беременный	a	22.2
беседа	s	55.2
бесконечно	adv	23.9
бесконечный	a	36.1
бесплатно	adv	23.0
бесплатный	a	25.5
бешенство	s	19.5
библиотека	s	57.7
бизнес	s	95.4
билет	s	35.0
биография	s	19.8
биологический	a	100.4
биология	s	50.5
биржа	s	22.8
бить	v	33.3
благо	s	46.3
благодарность	s	21.4
благодаря	pr	131.0
благоприятный	a	50.4
